Character,Tag,TextEnglish,TextGerman
Doctor,Good,Good!,Gut!
Doctor,Find_0,Can you find me an IV pump?,Kannst du mir eine IV -Pumpe finden?
Doctor,Wrong_0,This is not an IV pump!,Dies ist keine IV -Pumpe!
Doctor,Find_1,Can you find me a sphygmomanometer?,Kannst du mir ein Blutdruckmesser finden?
Doctor,Wrong_1,This is not a sphygmomanometer!,Dies ist kein Blutdruckmesser!
Doctor,Find_2,Can you find me a mobile medical workstation?,Können Sie mir eine mobile medizinische Workstation finden?
Doctor,Wrong_2,This is not a mobile medical workstation!,Dies ist keine mobile medizinische Workstation!
Doctor,Find_3,Can you find me a stethoscope?,Kannst du mir ein Stethoskop finden?
Doctor,Wrong_3,This is not a stethoscope!,Dies ist kein Stethoskop!
Doctor,Find_4,Can you find me an electrocardiogram monitor?,Können Sie mir einen Elektrokardiogramm -Monitor finden?
Doctor,Wrong_4,This is not an electrocardiogram monitor!,Dies ist kein Elektrokardiogramm -Monitor!
