Character,Tag,TextEnglish,TextGerman
Doctor,Good,Good!,Gut!
Doctor,Find_0,Can you find me a syringe?,Kannst du mir eine Spritze finden?
Doctor,Wrong_0,This is not a syringe!,Dies ist keine Spritze!
Doctor,Find_1,Can you find me an oxygen mask?,Kannst du mir eine Sauerstoffmaske finden?
Doctor,Wrong_1,This is not an oxygen mask!,Dies ist keine Sauerstoffmaske!
Doctor,Find_2,Can you find me an oxygen saturation measuring device?,Können Sie mir eine Sauerstoffsättigungsmessvorrichtung finden?
Doctor,Wrong_2,This is not an oxygen saturation measuring device!,Dies ist keine Sauerstoffsättigungsvorrichtung!
Doctor,Find_3,Can you find me a thermometer?,Kannst du mir ein Thermometer finden?
Doctor,Wrong_3,This is not a thermometer!,Dies ist kein Thermometer!
Doctor,Find_4,Can you find me a bandage?,Kannst du mir einen Verband finden?
Doctor,Wrong_4,This is not a bandage!,Dies ist kein Verband!
